city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Kahului,Kahului,HI,Hawaii,15009,Maui,20.8715,-156.4603,27233,730.9,shape,False,False,Pacific/Honolulu,3,96732 96733,1840023232
Wahiawa,Wahiawa,HI,Hawaii,15003,Honolulu,21.5012,-158.0178,17400,2934.7,shape,False,False,Pacific/Honolulu,2,96786,1840029550
Waihee-Waiehu,Waihee-Waiehu,HI,Hawaii,15009,Maui,20.9188,-156.5063,11029,998.7,shape,False,True,Pacific/Honolulu,3,96793,1840037549
Laie,Laie,HI,Hawaii,15003,Honolulu,21.6442,-157.9279,5411,1560.4,shape,False,False,Pacific/Honolulu,3,96762,1840029514
Hanapepe,Hanapepe,HI,Hawaii,15007,Kauai,21.9141,-159.5874,2242,926.6,shape,False,False,Pacific/Honolulu,3,96716,1840029478
Manele,Manele,HI,Hawaii,15009,Maui,20.7419,-156.9012,44,13.9,shape,False,True,Pacific/Honolulu,4,96763,1840039207
Des Moines,Des Moines,IA,Iowa,19153,Polk,41.5725,-93.6105,548926,933.4,shape,False,True,America/Chicago,2,50309 50312 50314 50315 50316 50317 50310 50313 50319 50321 50320 50311 50301 50302 50303 50304 50305 50306 50307 50308 50318 50328 50329 50330 50331 50332 50335 50340 50380 50381 50391 50392 50393 50394 50395 50396 50936 50940 50947 50950 50980 50981 50982 50983,1840007069
Davenport,Davenport,IA,Iowa,19163,Scott,41.5565,-90.6053,281333,614.0,shape,False,True,America/Chicago,2,52802 52803 52801 52806 52807 52804 52805 52808 52809,1840007081
Iowa City,Iowa City,IA,Iowa,19103,Johnson,41.6559,-91.5303,130736,1127.0,shape,False,True,America/Chicago,2,52245 52246 52240 52242 52243 52244,1840000532
Ames,Ames,IA,Iowa,19169,Story,42.0256,-93.6217,66729,918.7,shape,False,True,America/Chicago,3,50014 50013 50012 50010 50011,1840007019
Clinton,Clinton,IA,Iowa,19045,Clinton,41.8435,-90.2412,24524,266.0,shape,False,True,America/Chicago,3,52732 52733 52734 52736,1840000507
Denison,Denison,IA,Iowa,19047,Crawford,42.0162,-95.3528,8316,490.4,shape,False,True,America/Chicago,3,51442,1840007008
Carlisle,Carlisle,IA,Iowa,19153,Polk,41.5118,-93.495,4116,281.2,shape,False,True,America/Chicago,3,50047,1840007104
Van Meter,Van Meter,IA,Iowa,19049,Dallas,41.5192,-93.9426,1468,229.6,shape,False,True,America/Chicago,3,50261,1840010180
Richland,Richland,IA,Iowa,19107,Keokuk,41.1855,-91.9936,497,185.5,shape,False,True,America/Chicago,3,52585,1840009287
Sexton,Sexton,IA,Iowa,19109,Kossuth,43.0749,-94.0892,0,1.3,shape,False,False,America/Chicago,3,50511,1840024035
Boise,Boise,ID,Idaho,16001,Ada,43.6005,-116.2308,449776,1072.4,shape,False,True,America/Boise,2,83703 83702 83706 83705 83704 83709 83712 83716 83713 83725 83720 83701 83708 83715 83717 83722 83724 83728 83729 83735 83756 83799,1840027142
Coeur d'Alene,Coeur d'Alene,ID,Idaho,16055,Kootenai,47.704,-116.7936,134503,1309.1,shape,False,True,America/Los_Angeles,2,83815 83814 83816,1840018402
Pocatello,Pocatello,ID,Idaho,16005,Bannock,42.8724,-112.4647,74284,654.8,shape,False,True,America/Boise,3,83209 83204 83201 83205 83206,1840013376
Lewiston,Lewiston,ID,Idaho,16069,Nez Perce,46.3934,-116.9933,34270,763.8,shape,False,True,America/Los_Angeles,3,83501,1840019897
Blackfoot,Blackfoot,ID,Idaho,16011,Bingham,43.194,-112.3454,12349,804.9,shape,False,True,America/Boise,3,83221,1840018650
American Falls,American Falls,ID,Idaho,16077,Power,42.7828,-112.8541,4573,1094.2,shape,False,True,America/Boise,3,83211,1840018666
Parma,Parma,ID,Idaho,16027,Canyon,43.7864,-116.9429,1937,692.0,shape,False,True,America/Boise,3,83660,1840020043
Council,Council,ID,Idaho,16003,Adams,44.7328,-116.4376,655,239.8,shape,False,True,America/Boise,3,83612,1840018584
Warm River,Warm River,ID,Idaho,16043,Fremont,44.1188,-111.32,0,2.6,shape,False,True,America/Boise,3,83420,1840021257
Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8497759,4614.5,shape,False,True,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60827 60661 60660 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494
Rockford,Rockford,IL,Illinois,17201,Winnebago,42.2596,-89.064,273237,881.3,shape,False,True,America/Chicago,2,61101 61114 61109 61108 61104 61107 61103 61102 61105 61106 61110 61125 61126,1840009132
Aurora,Aurora,IL,Illinois,17089,Kane,41.7638,-88.2902,181405,1555.1,shape,False,True,America/Chicago,2,60505 60506 60504 60502 60503 60519 60507 60568 60569 60572 60598 60599,1840007034
Elgin,Elgin,IL,Illinois,17089,Kane,42.0383,-88.324,114190,1159.4,shape,False,True,America/Chicago,2,60120 60123 60124 60121 60122,1840008134
Oak Lawn,Oak Lawn,IL,Illinois,17031,Cook,41.7139,-87.7528,57665,2597.7,shape,False,True,America/Chicago,2,60453,1840011306
Oswego,Oswego,IL,Illinois,17093,Kendall,41.6834,-88.3372,34810,884.2,shape,False,True,America/Chicago,3,60543,1840011508
Brookfield,Brookfield,IL,Illinois,17031,Cook,41.8245,-87.847,19349,2438.5,shape,False,True,America/Chicago,2,60513,1840010142
Mendota,Mendota,IL,Illinois,17099,LaSalle,41.5553,-89.1041,6961,531.6,shape,False,True,America/Chicago,3,61342,1840008199
Third Lake,Third Lake,IL,Illinois,17097,Lake,42.3709,-88.0122,1214,796.9,shape,False,True,America/Chicago,3,60030 60046,1840011179
Big Foot Prairie,Big Foot Prairie,IL,Illinois,17111,McHenry,42.4915,-88.6007,0,23.6,shape,False,False,America/Chicago,3,60033,1840150608
Indianapolis,Indianapolis,IN,Indiana,18097,Marion,39.7771,-86.1458,1729849,941.8,shape,False,True,America/Indiana/Indianapolis,1,46234 46237 46218 46219 46217 46214 46260 46268 46226 46225 46183 46231 46235 46236 46239 46254 46250 46208 46201 46203 46202 46205 46204 46206 46256 46259 46227 46224 46222 46221 46220 46229 46228 46113 46278 46241 46240 46207 46209 46230 46242 46244 46247 46251 46253 46255 46262 46277 46282 46283 46285 46288 46298,1840030084
Fort Wayne,Fort Wayne,IN,Indiana,18003,Allen,41.0888,-85.1436,337163,923.0,shape,False,True,America/Indiana/Indianapolis,2,46835 46818 46814 46815 46816 46825 46845 46803 46802 46807 46806 46805 46804 46809 46808 46801 46850 46851 46852 46853 46854 46855 46856 46857 46858 46859 46860 46861 46862 46863 46864 46865 46866 46867 46868 46869 46885 46895 46897,1840008261
Evansville,Evansville,IN,Indiana,18163,Vanderburgh,37.9881,-87.5341,203661,953.2,shape,False,True,America/Chicago,2,47714 47715 47710 47711 47713 47708 47701 47702 47703 47704 47705 47706 47716 47719 47722 47724 47728 47730 47731 47732 47733 47734 47735 47736 47737 47740 47747 47750,1840013730
Fishers,Fishers,IN,Indiana,18057,Hamilton,39.9588,-85.9659,99041,1063.0,shape,False,True,America/Indiana/Indianapolis,3,46038 46040 46256 46037 46085,1840010496
Jeffersonville,Jeffersonville,IN,Indiana,18019,Clark,38.3376,-85.7026,49771,563.9,shape,False,True,America/Kentucky/Louisville,3,47130 47131 47132 47133 47134 47144 47190 47199,1840008642
